feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,gesture_label,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5107405,2.8741896,2.8600938,2.992722,2.8480794,3.0349193,2.9142196,3.0782876,2.9265943,3.0153623,0.115063794,0.20124954,0.22178078,0.20357591,0.18078324,0.24722265,0.09954481,0.10016895,0.12581164,0.048201747,0.10016249,0.09847612,0.0940004,-0.00871316,-0.02012546,-0.023391908,-0.0075544864,0.0056986287,-0.008044929,-0.022681665,-0.038998324,-0.03628324,-0.039398383,0.0,0.0,0.0,0.0,0.0,0.0,Ox,2026-02-15T18:33:54.367889
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5875747,2.8741784,2.8436525,3.0227232,2.917672,3.003704,3.0898309,3.0664988,2.9650347,3.0015242,0.11831563,0.19700506,0.22364311,0.19992736,0.18051104,0.20609057,0.17021906,0.1428031,0.13376077,0.05199269,0.10148843,0.10127516,0.08472608,-0.011071514,-0.025151076,-0.015408263,0.0039023696,0.0155033255,-0.010402998,-0.025761563,-0.04043984,-0.038145382,-0.040816106,0.0,0.0,0.0,0.0,0.0,0.0,Ox,2026-02-15T18:33:54.583632
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6016438,2.6455078,2.4763443,3.0464904,2.5509841,3.0015852,2.7982173,3.0539742,2.8114872,3.0059643,0.12544067,0.21370915,0.22979195,0.21914415,0.18911877,0.24302422,0.18453643,0.1390586,0.12635657,0.053971477,0.09938655,0.100368194,0.09678232,-0.023574324,-0.06464752,-0.05150169,-0.018450066,0.010341524,0.020391606,-0.0008080076,-0.030933931,-0.03361604,-0.044823408,0.0,0.0,0.0,0.0,0.0,0.0,Ox,2026-02-15T18:33:54.800716
2.6434333,2.9489768,2.8566942,3.1055596,2.9641078,3.0605638,2.963365,3.0511897,2.9263246,3.0516849,0.12262371,0.20921561,0.22654301,0.20901993,0.18367101,0.1867642,0.17725123,0.16496994,0.1495645,0.06885244,0.100889824,0.10660029,0.09159914,0.0044323793,-0.0023143329,0.004679387,0.021762716,0.019454462,0.015382667,-0.00379145,-0.0262814,-0.031159598,-0.042103406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ox,2026-02-15T18:33:55.041632
2.5757957,2.8994756,2.6896923,3.0976582,2.870696,3.1055226,2.9293637,3.1113088,2.9050195,3.0527856,0.121302254,0.20466796,0.22263451,0.21238028,0.18263704,0.1821673,0.14859635,0.12673683,0.17983764,0.077754006,0.100620516,0.10705887,0.08815564,0.009419181,0.0053273425,0.0104190335,0.02104603,0.0154527575,0.015349986,-0.0046184994,-0.024325008,-0.030331932,-0.044429988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ox,2026-02-15T18:33:55.267598
2.562911,2.8850956,2.6518335,3.1092975,2.8281748,3.0828855,2.8919122,3.0348601,2.8803022,3.0476716,0.12080297,0.20409435,0.22352086,0.21089281,0.18108355,0.2032492,0.16908798,0.12499073,0.18383032,0.08077891,0.09823309,0.10548491,0.08917648,0.014786525,0.014461396,0.018785693,0.030900674,0.01942793,0.019435626,-0.0041508414,-0.02915197,-0.0328992,-0.0504106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ox,2026-02-15T18:33:55.497266
2.5381062,2.9161153,2.6906874,3.0977514,2.8568044,3.1212757,2.9187825,3.092616,2.9304802,3.0504677,0.12363607,0.20492324,0.22284661,0.21070318,0.18081093,0.18685906,0.16047662,0.13773452,0.16166349,0.076331556,0.09900772,0.10539826,0.08654277,0.012241133,0.008440425,0.010824772,0.023452299,0.01422484,0.017455287,-0.0030312538,-0.026321877,-0.031051088,-0.045647774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ox,2026-02-15T18:33:55.700991
2.5033696,2.9201262,2.6854055,3.083365,2.8792636,3.0851738,2.9406393,3.0759974,2.9193256,3.0661805,0.12454997,0.20735249,0.22473998,0.21484011,0.18598174,0.182494,0.1454082,0.13372092,0.17282815,0.076827995,0.10008329,0.10606595,0.08782912,0.0147459395,0.008338473,0.01054597,0.022965984,0.015360039,0.01906297,-0.0019248533,-0.024053385,-0.029409887,-0.04478934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ox,2026-02-15T18:33:55.929531
3.0200033,3.073274,3.0987866,3.1211567,3.0557308,3.081342,2.9916246,2.8695958,2.2138886,2.7640042,0.15917502,0.2327653,0.17826815,0.16248402,0.090469986,0.11037832,0.15543854,0.15436818,0.77385426,0.07809904,0.0944858,0.11008698,0.07659275,0.003828844,0.0069280323,0.005731357,0.014161166,0.034569643,-0.020925788,-0.05563981,-0.06878911,-0.08254948,-0.076487415,2.5790157,2.8903067,2.6520185,3.1126907,2.8644779,3.0388927,2.9550848,3.0704985,2.8823085,3.063278,0.1303507,0.21402536,0.23095115,0.22326154,0.1923004,0.20339943,0.118548594,0.11479533,0.17292762,0.08201955,0.10659199,0.11262686,0.09028648,0.009335676,0.008364039,0.011405376,0.021462038,0.015765948,0.013366595,-0.010058054,-0.029621584,-0.035907134,-0.049148664,0.16170858,0.15060009,0.117701665,-0.159423,-0.02709192,-1.5497932e-09,Ox,2026-02-15T18:33:56.157191
3.0257406,3.034977,3.1101778,3.119305,2.9967415,3.0732899,2.7376308,2.7982173,2.3705285,2.6088152,0.15579724,0.23292895,0.17593221,0.15976797,0.09648955,0.108952574,0.1833544,0.20654918,0.72496194,0.07863243,0.09499871,0.110764906,0.07987262,0.0018461768,0.004022672,0.007660065,0.028136421,0.03569728,-0.02626725,-0.06399576,-0.077755965,-0.089783564,-0.08397884,2.572152,2.8428152,2.6894405,3.0818036,2.9201076,3.055721,2.964944,3.0941522,2.8960707,3.0624738,0.12743124,0.2099104,0.23021287,0.22210583,0.19270754,0.19684905,0.10466425,0.1285587,0.17365655,0.078506164,0.105317764,0.11066587,0.08852098,0.008726199,0.005423375,0.0051735137,0.01942508,0.015796991,0.012800483,-0.009322047,-0.029370006,-0.034764007,-0.04872197,0.15776594,0.15325087,0.112378314,-0.15530485,-0.027757823,6.5062693e-09,Ox,2026-02-15T18:33:56.357614
3.04095,3.071002,3.072654,3.1317434,3.0008485,3.1335263,2.797813,2.8043268,2.3574514,2.6173909,0.15699108,0.23436053,0.17229322,0.16238494,0.095138125,0.10177957,0.18837558,0.20197637,0.73552793,0.08050179,0.09490158,0.11150763,0.07979235,0.0060193036,0.008665899,0.0028118636,0.026143963,0.03944635,-0.024557324,-0.059834532,-0.07425057,-0.08846349,-0.08243099,2.547403,2.8808432,2.7327638,3.1086504,2.972591,3.0762467,2.985028,3.11883,2.9104404,3.0545492,0.12798093,0.2109537,0.22959484,0.22073238,0.18944521,0.21771352,0.10070669,0.12631264,0.1597959,0.072288334,0.10471524,0.10934937,0.09032773,0.005745344,0.0025631958,0.0008688211,0.016571352,0.013894781,0.011867058,-0.00819377,-0.028202437,-0.033252668,-0.04709778,0.16117813,0.1578973,0.11613946,-0.15904462,-0.026138008,1.33321265e-08,Ox,2026-02-15T18:33:56.584864
3.0332403,3.0916114,3.1307764,3.1160245,2.9910233,3.0748484,2.8965905,2.815046,2.226731,2.7884572,0.17363337,0.23294713,0.17840794,0.16702661,0.100391775,0.1415959,0.1817963,0.14983693,0.7640894,0.07709207,0.096041754,0.110520296,0.065785214,0.0047545787,0.0023855774,0.007747282,0.015093957,0.038360678,-0.022113243,-0.061924014,-0.07665634,-0.09147071,-0.08604441,2.5292258,2.8983524,2.7387028,3.1184404,2.9789095,3.0995321,2.9891179,3.1161106,2.915611,3.056496,0.12423705,0.20729256,0.22624312,0.21849959,0.18654132,0.23214562,0.099420495,0.12416952,0.16842987,0.07141109,0.10432959,0.108224295,0.090993784,0.005085494,0.0041359146,0.0008453705,0.015293141,0.012168936,0.011871487,-0.007519466,-0.027936269,-0.03379802,-0.048555855,0.1548093,0.16147207,0.11715622,-0.15257728,-0.02619338,-1.4930208e-08,Ox,2026-02-15T18:33:56.817249
3.0369413,3.071382,3.0798874,3.1162853,2.9921381,3.0996323,2.7470288,2.7727876,2.297765,2.682932,0.1588683,0.23856482,0.17987338,0.16325073,0.09796167,0.1115785,0.18192534,0.21484548,0.6918847,0.079073355,0.09751674,0.11332737,0.082600705,0.0048779906,0.0063462206,0.0041772923,0.027999524,0.04109346,-0.023410894,-0.061169393,-0.07681159,-0.090029836,-0.08353871,2.5348399,2.8733897,2.6184974,3.093609,2.8407757,3.0711193,2.9564276,3.0941296,2.948908,3.0502603,0.12409971,0.20761019,0.22590557,0.2186466,0.18668938,0.21772316,0.084701315,0.11775382,0.1642225,0.07673511,0.10565115,0.11043246,0.09050128,0.009431915,0.010531417,0.009574168,0.018326188,0.0119584305,0.009222658,-0.011893411,-0.028443048,-0.034999635,-0.047075916,0.16048805,0.1626952,0.120802954,-0.15775219,-0.029507041,1.643268e-08,Ox,2026-02-15T18:33:57.053228
3.0481203,3.0759099,3.1092062,3.1367757,3.0116878,3.0898097,2.7815626,2.830952,2.2868128,2.6705842,0.15853292,0.23548447,0.18543546,0.16439761,0.09586562,0.11141151,0.15928547,0.19742377,0.6939744,0.07863261,0.09850411,0.1138337,0.079902604,0.0060189953,0.004202929,0.0077786334,0.026720168,0.042533893,-0.022748029,-0.05790601,-0.07339269,-0.08728253,-0.08094554,2.5055401,2.8553007,2.6633103,3.077564,2.8937206,3.0508807,2.9604552,3.1211302,2.8992398,3.0625722,0.12031394,0.20875476,0.22993368,0.22385038,0.1911828,0.24778442,0.094412155,0.11347965,0.1699901,0.07838879,0.107354246,0.111802764,0.09672612,0.006979583,0.007746778,0.007316059,0.017298061,0.013856208,0.013033755,-0.007502782,-0.026125716,-0.033749398,-0.046401586,0.163979,0.15644486,0.12161107,-0.16128844,-0.029582918,2.4877522e-09,Ox,2026-02-15T18:33:57.287589
3.032299,3.0868285,3.1221633,3.1197083,2.99728,3.0714757,2.8479905,2.8039882,2.2525003,2.769934,0.17369464,0.23373951,0.18597803,0.16789621,0.10331207,0.1461222,0.17104946,0.17659871,0.7406377,0.0797797,0.09877446,0.112856984,0.06686321,0.0063300924,0.0028858834,0.0034382893,0.016450843,0.038359813,-0.023688568,-0.064932115,-0.081204556,-0.09494058,-0.09030926,2.5218596,2.882331,2.7199874,3.1227067,2.9737077,3.0916312,2.9710221,3.116436,2.9202209,3.0513418,0.12566063,0.21356347,0.23078915,0.22192717,0.19181119,0.2341152,0.09367773,0.1355049,0.17633516,0.074154384,0.10590601,0.11040482,0.095870174,0.0088455295,0.007905969,0.002407553,0.017452262,0.014779417,0.015907178,-0.0046142596,-0.025466848,-0.033101875,-0.049194474,0.16080135,0.16310824,0.12428636,-0.15881819,-0.025176585,-1.7903304e-08,Ox,2026-02-15T18:33:57.514743
2.5321445,2.8526504,2.6092768,3.0104425,2.8284104,3.0351756,2.946264,3.097867,2.9364653,3.0371451,0.119889006,0.20192449,0.22395025,0.2175377,0.18973248,0.22246511,0.08881147,0.113625616,0.18066311,0.08227681,0.106253065,0.11102902,0.089011036,0.011340211,0.013178497,0.012108775,0.018325368,0.009836624,0.014575266,-0.0060522305,-0.023732483,-0.032706577,-0.048834816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ox,2026-02-15T18:33:57.737636
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.509325,2.935535,2.748032,3.10888,2.9827406,3.116526,3.0248742,3.0944536,2.9813972,3.0252428,0.12497891,0.21106835,0.22769287,0.21781138,0.18922968,0.24788354,0.07622011,0.14696723,0.16588394,0.07010269,0.10526318,0.108148076,0.094994664,0.0056672967,0.0045451233,-0.002894022,0.012092893,0.00746247,0.012523002,-0.0064357957,-0.024106197,-0.031515002,-0.047193516,0.0,0.0,0.0,0.0,0.0,0.0,Ox,2026-02-15T18:33:57.968596
3.0153723,3.0615292,3.136123,3.1348932,3.122439,3.1192756,2.9960878,2.8661814,2.467504,2.751326,0.15394014,0.23133516,0.18588975,0.16466652,0.09669947,0.11341359,0.1389694,0.16562249,0.7883157,0.08393892,0.09411487,0.11041061,0.08029657,-0.0024434535,0.0013667879,0.0014315267,0.012093047,0.032546587,-0.02630396,-0.06268855,-0.074389026,-0.08640032,-0.083969206,2.541526,2.920928,2.6723459,3.1048996,2.9113955,3.0847223,2.9782481,3.0958135,2.930246,3.0404563,0.12608546,0.20833355,0.22734548,0.21892205,0.1885882,0.27237463,0.08363201,0.11328898,0.16937749,0.073332846,0.10451443,0.10834555,0.09328166,0.005469391,0.012025993,0.008587761,0.018228564,0.013527114,0.01081397,-0.008965865,-0.027000103,-0.033592682,-0.047540445,0.15545763,0.16629362,0.12992433,-0.1538502,-0.0222978,-1.3706654e-09,Ox,2026-02-15T18:33:58.197185
3.0222201,3.083218,3.1160624,3.1263552,3.0664046,3.1036751,3.02648,2.8439777,2.3419633,2.7284353,0.16112542,0.23522225,0.18523046,0.16858497,0.09557785,0.115305275,0.15668246,0.14717226,0.76653516,0.07874799,0.09655113,0.11189078,0.07741872,0.001812455,0.0042944574,-0.0014563972,0.0053559584,0.036384556,-0.022360055,-0.0585025,-0.073361255,-0.08754651,-0.08132709,2.502,2.9320955,2.7001338,3.1166613,2.9350579,3.077328,3.0008888,3.1225464,2.9554627,3.0511134,0.12523492,0.20666279,0.2265379,0.21886101,0.1886884,0.25901115,0.0923768,0.11128479,0.17544197,0.07212049,0.10286102,0.10643662,0.091417134,0.006696116,0.0074838963,0.0044553205,0.013912629,0.010066425,0.013588132,-0.007363933,-0.026476795,-0.03370476,-0.048675533,0.15781473,0.16361323,0.12932566,-0.15517497,-0.028743982,-1.7255388e-08,Ox,2026-02-15T18:33:58.425407
